,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
3689,3689,408.2365253,440.7236304,6.103516,6.286621,27.5746233,Tank Refilling
3690,3690,402.2513204,434.2182529,6.103516,6.286621,28.6225179,Tank Refilling
3691,3691,434.9860821,454.5059124,6.286621,6.408691,17.5264687,Stable
3692,3692,434.8853243,454.8067731,6.286621,6.408691,23.3686041,Stable
3693,3693,462.5226126,423.2477903,6.469727,6.225586,-38.6895584,Taking a bath
3694,3694,370.0149517,379.5043075,5.92041,5.981445,11.1196069,Stable
3695,3695,386.3479515,404.229835,5.981445,6.103516,19.8072124,Stable
3696,3696,373.8391857,297.8420084,5.92041,5.493164,-69.5668497,Washing clothes
3697,3697,354.8687596,262.552797,5.79834,5.310059,-89.0083215,Washing clothes
3698,3698,236.3699031,107.0518942,5.126953,4.394531,-130.1662962,Washing clothes
3699,3699,144.0478055,187.2365601,4.577637,4.821777,44.3639301,Tank Refilling
3700,3700,139.3450537,133.1804546,4.577637,4.516602,-12.0964703,Toilet flushing
3701,3701,164.0621596,140.1714513,4.699707,4.577637,-24.0953739,Toilet flushing
3702,3702,133.665131,85.6050957,4.516602,4.272461,-43.1463328,Taking a bath
3703,3703,27.461968,43.6945492,3.90625,4.02832,18.4356494,Stable
3704,3704,82.4650484,462.4699825,4.211426,6.469727,391.4465616,Tank Refilling
3705,3705,463.2918012,427.3322017,6.469727,6.225586,-39.9291548,Taking a bath
3706,3706,435.9446062,408.260865,6.265259,6.12793,-28.0674411,Toilet flushing
3707,3707,241.8036542,252.7040603,5.166626,5.206299,2.5324009,Stable
3708,3708,246.9115971,241.8914527,5.166626,5.175781,-0.4938964,Stable
3709,3709,237.9118939,243.9407634,5.154419,5.200195,6.6221888,Stable
3710,3710,245.1809099,239.8392693,5.611882,5.583551,-9.0863159,Stable
3711,3711,248.4322107,226.6446724,5.640221,5.51411,-13.5245084,Toilet flushing
3712,3712,242.9055825,110.6177742,5.572441,4.987002,-130.0676466,Washing clothes
3713,3713,118.0505689,121.3316179,5.033551,5.078774,3.4550618,Stable
3714,3714,130.9129822,161.5679017,5.111221,5.268331,31.8574814,Tank Refilling
